subject,session_index,rep,H.percent,UD.percent.e,DD.percent.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,5,43,0.09915,0.05143,0.15159,0.09649,0.1155,0.21199,0.17987,0.06437,0.03223,0.05469,0.18809,0.27601,0.06394,0.25127,0.31554,0.36337,0.1121,0.03914,0.05985,0.07599,0.17596,0.09997,0.33229,0.43225,0.1356,0.14332,0.27993,0.09893,0.06008,0.16001,0.09623
kasia,6,44,0.06268,0.10045,0.16414,0.1277,0.2313,0.35901,0.29566,0.06436,0.02198,0.05454,0.33848,0.41599,0.06264,1.21616,1.27981,1.3024,0.08624,0.02299,0.15021,0.0726,0.24659,0.04974,0.82475,0.8755,0.08011,0.10896,0.19007,0.07209,0.10011,0.17314,0.07207
kasia,6,45,0.08779,0.07635,0.16414,0.08721,0.178,0.26521,0.26101,0.08301,0.01598,0.05447,0.20513,0.27669,0.0855,0.83985,0.92576,0.08051,0.10442,0.18594,0.06781,0.0909,0.15974,0.08357,0.18113,0.26471,0.09408,0.12379,0.21889,0.07314,0.11332,0.18646,0.10914
kasia,6,46,0.0987,0.38808,0.48778,0.0841,0.3195,0.40456,0.10146,0.03112,0.13257,0.07157,0.2659,0.33747,0.08023,0.39256,0.4738,0.0719,0.31033,0.38323,0.06121,0.5255,0.58792,0.07561,0.76608,0.84269,0.06379,0.18286,0.24665,0.06744,0.20846,0.27691,0.06011
kasia,6,47,0.17639,0.83901,1.01642,0.08201,0.32302,0.4056,0.0955,0.12252,0.21903,0.09895,0.86449,0.96445,0.08494,0.21486,0.30176,0.10017,0.10014,0.20031,0.07657,0.19645,0.27401,0.07987,0.85296,0.93382,0.09835,0.13229,0.23163,0.08123,0.14975,0.23097,0.06837
kasia,6,48,0.09219,0.19966,0.29186,0.08376,0.29934,0.38409,0.09646,0.02269,0.11914,0.09606,0.76364,0.86059,0.09481,0.24003,0.33583,0.12716,0.04423,0.17239,0.13211,0.11605,0.24816,0.10877,0.13757,0.24736,0.11225,0.15062,0.2638,0.08068,0.07622,0.1569,0.07208
wiktoria,1,1,0.0819,2.4878,2.57072,0.09109,1.95622,2.04831,0.09576,0.07105,0.16793,0.0838,2.39936,2.48417,0.10277,1.95143,2.05574,0.07138,0.21474,0.28769,0.07416,0.12509,0.20025,0.05463,3.0807,3.13663,0.0983,0.17575,0.27532,0.08768,0.73187,0.82056,0.09129
wiktoria,1,2,0.1155,1.19171,1.30822,0.11876,0.35663,0.47539,0.09588,0.19666,0.29254,0.12766,0.87247,1.00013,0.09924,0.70879,0.80803,0.09061,0.24125,0.33186,0.07939,0.13637,0.21576,0.07882,0.67675,0.75557,0.07977,0.18435,0.26413,0.09991,0.29638,0.3963,0.10757
wiktoria,1,3,0.10802,0.22265,0.33178,0.08003,0.41286,0.49289,0.09024,0.13993,0.23123,0.08759,0.37132,0.4599,0.09677,0.26351,0.36027,0.08744,0.24666,0.33536,0.07241,0.21621,0.28861,0.0724,0.41489,0.48844,0.07811,0.23181,0.31107,0.09576,0.12815,0.2245,0.09516
wiktoria,1,4,0.09524,0.23196,0.3282,0.07469,0.54411,0.61979,0.0706,0.09622,0.16828,0.07087,0.39635,0.46836,0.10834,0.72752,0.83586,0.06579,0.23254,0.29965,0.06297,0.10324,0.16726,0.09125,0.29646,0.38916,0.08678,0.18358,0.27117,0.07882,0.4362,0.51643,0.09136
wiktoria,1,5,0.09409,0.84541,0.9405,0.07542,0.28416,0.35958,0.09097,0.20473,0.29661,0.07861,1.83295,1.91156,0.09521,0.38402,0.47966,0.0787,0.21549,0.29533,0.06292,0.26825,0.33261,0.09906,0.22798,0.32806,0.08698,0.22055,0.30853,0.08815,0.80762,0.89577,0.08323
wiktoria,1,6,0.08654,0.22379,0.31172,0.10684,0.37981,0.48776,0.07947,0.16751,0.24827,0.07091,1.92014,1.99241,0.09097,1.39919,1.49243,0.08334,0.20423,0.28775,0.06703,0.17182,0.2399,0.08765,0.13219,0.21985,0.08673,0.18447,0.27236,0.08616,0.4047,0.49211,0.09931
wiktoria,1,7,0.10827,0.61095,0.71923,0.06404,0.43891,0.50381,0.07076,0.18743,0.26018,0.10377,1.54351,1.64829,0.11203,1.1597,1.27224,0.08369,0.2346,0.31956,0.07816,0.20477,0.28431,0.10365,0.25527,0.35994,0.0747,0.2045,0.27971,0.09566,0.1839,0.27956,0.12453
wiktoria,1,8,0.1137,0.23967,0.35443,0.08501,0.32783,0.41284,0.07946,0.17195,0.25241,0.10672,1.51569,1.62361,0.09835,0.27229,0.37273,0.07119,0.26416,0.33535,0.0832,0.15162,0.23583,0.07553,0.19971,0.27608,0.08313,0.18777,0.27195,0.10015,0.12381,0.22396,0.10215
wiktoria,1,9,0.0828,1.21172,1.29558,0.09036,0.33285,0.42507,0.07611,0.1429,0.21901,0.09095,0.23669,0.32905,0.10229,0.43619,0.53956,0.06694,0.25223,0.32045,0.11407,0.22071,0.33527,0.10323,0.14354,0.24795,0.07054,0.18461,0.25615,0.08702,0.11236,0.20039,0.1176
wiktoria,1,10,0.09081,1.64808,1.73989,0.08318,0.48399,0.56802,0.11112,0.16735,0.27972,0.0953,0.28809,0.3845,0.10274,0.33603,0.43979,0.06228,0.205,0.26842,0.08661,0.1201,0.2077,0.08687,0.26406,0.35192,0.0746,0.17954,0.25539,0.08765,0.35993,0.44893,0.11458
wiktoria,1,11,0.08745,0.47997,0.56842,0.07044,0.29613,0.36787,0.09116,0.15965,0.25233,0.07979,2.00755,2.08734,0.15927,0.93258,1.09287,0.08732,0.37641,0.46373,0.07479,0.12408,0.19992,0.10292,0.44362,0.54773,0.08249,0.23617,0.32007,0.0882,0.45101,0.54021,0.08316
wiktoria,1,12,0.10405,1.16365,1.2677,0.11133,0.32394,0.43622,0.07632,0.18361,0.25993,0.12682,0.49256,0.62038,0.10785,1.35236,1.46021,0.0759,0.29144,0.36734,0.09233,0.1842,0.27653,0.09977,0.14512,0.2449,0.07952,0.18408,0.2636,0.10225,0.4724,0.57577,0.06736
wiktoria,1,13,0.13377,0.20898,0.34402,0.09506,0.27999,0.37619,0.10766,0.11171,0.2204,0.0976,0.98055,1.07929,0.09586,0.62265,0.71965,0.0793,0.21176,0.29222,0.08332,0.16414,0.24848,0.10645,0.15604,0.26364,0.09107,0.21264,0.30478,0.09032,0.16831,0.25957,0.11104
wiktoria,1,14,0.09489,0.21125,0.30714,0.08318,0.28784,0.37253,0.09652,0.10722,0.20374,0.09514,0.56461,0.66075,0.10772,0.36374,0.47146,0.07526,0.22023,0.29649,0.07617,0.09169,0.16786,0.11869,0.144,0.26374,0.0905,0.16471,0.2562,0.09049,0.15703,0.24824,0.05082
