User,BackspaceCount,DeleteCount,WPM,Similarity,Diff_0,Diff_1,Diff_2,Diff_3,Diff_4,Diff_5,Diff_6,Diff_7,Diff_8,Diff_9,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Miss_0,Miss_1,Miss_2,Miss_3,Miss_4,Miss_5,Miss_6,Miss_7,Miss_8,Miss_9
maciek,3,0,216.3529412927842,0.9881944444444445,0409,1615,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
maciek,1,0,158.78185047115517,0.9861111111111112,0914,0,0,0,0,0,0,0,0,0,-5,-16,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maciek,2,0,204.3836509207433,0.9849999999999999,0518,1805,0,0,0,0,0,0,0,0,-9,-19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
maciek,2,0,168.83298831548268,0.9841666666666666,1518,1815,0,0,0,0,0,0,0,0,-17,-20,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
maciek,2,0,153.41416105435675,0.9875,0,0,0,0,0,0,0,0,0,0,-3,-5,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0
maciek,2,0,176.32406112526124,0.9791666666666666,0,0,0,0,0,0,0,0,0,0,-12,-18,-19,-21,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0
maciek,4,0,141.47920809093276,0.9782473544973544,0,0,0,0,0,0,0,0,0,0,-5,-19,-21,0,0,0,0,0,0,0,9,9,18,20,0,0,0,0,0,0
maciek,3,0,182.14828855759333,0.9828703703703704,0,0,0,0,0,0,0,0,0,0,-14,-18,-18,0,0,0,0,0,0,0,5,14,19,0,0,0,0,0,0,0
maciek,2,0,174.03259589834082,0.9859259259259259,0,0,0,0,0,0,0,0,0,0,-5,-16,-20,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0
maciek,5,0,154.76492312061507,0.9743308080808081,1516,1615,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,0,0,0,1,5,12,14,19,0,0,0,0,0
luiza,0,0,41.12522267942957,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,61.128912882921036,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,59.95271121193739,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,56.09427869350936,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,62.201903461753176,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,60.898854942600266,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,53.39900957151653,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,58.07464631923432,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,38.960030423074535,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luiza,0,0,61.35363980892667,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pola,1,0,60.1747382082235,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,59.65125271983266,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,62.2961655106758,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,58.471010735271,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
pola,0,0,63.7701998440853,0.986904761904762,0309,0901,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
