subject,session_index,rep,H.dot,UD.dot.e,DD.dot.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,7,75,0.10048,0.01931,0.11979,0.07124,0.14062,0.21186,0.193,0.05238,0.03251,0.04381,0.23968,0.316,0.04988,0.14496,0.19589,0.24087,0.09591,0.04801,0.05513,0.04381,0.14796,0.07663,0.06692,0.14456,0.08775,0.09257,0.18032,0.09154,0.03133,0.12287,0.09553
kasia,7,76,0.09548,0.07602,0.1715,0.08039,0.11105,0.19145,0.20424,0.09319,0.03572,0.03577,0.13545,0.20694,0.13716,0.16779,0.30495,0.26283,0.09504,0.0519,0.03178,0.02409,0.10882,0.09974,0.04874,0.14848,0.05974,0.09572,0.15546,0.15946,0.06374,0.01234,0.05063
kasia,7,77,0.08191,0.09155,0.17346,0.085,0.09684,0.1825,0.19244,0.0956,0.02347,0.05877,0.17287,0.25543,0.10368,0.43298,0.53767,0.08597,0.05103,0.137,0.08218,0.00851,0.09069,0.09519,0.06047,0.15565,0.0908,0.09585,0.18664,0.15496,0.05911,0.02347,0.08387
kasia,8,78,0.0901,0.0729,0.16401,0.07668,0.12378,0.20087,0.12707,0.02255,0.14962,0.07353,0.12293,0.19646,0.09573,0.58244,0.67817,0.08706,0.08746,0.17452,0.07325,0.03473,0.10798,0.11085,0.04475,0.1556,0.08724,0.11733,0.20457,0.06945,0.03177,0.10122,0.09039
kasia,8,79,0.08149,0.14203,0.22453,0.08367,0.08695,0.17225,0.09593,0.02324,0.11918,0.07075,0.13352,0.20462,0.10903,0.42382,0.53322,0.08092,0.0641,0.14573,0.08672,0.0234,0.11049,0.09838,0.05446,0.15324,0.09657,0.09651,0.19308,0.07199,0.01403,0.08602,0.08964
kasia,8,80,0.11843,0.18656,0.30599,0.08186,0.17327,0.25513,0.12256,0.032,0.15457,0.06847,0.20039,0.26886,0.08189,0.14548,0.22737,0.07811,0.07724,0.15535,0.09096,0.03598,0.12695,0.0917,0.03561,0.12831,0.09532,0.09463,0.19045,0.07344,0.01822,0.09166,0.08008
kasia,8,81,0.08144,0.2377,0.31914,0.08708,0.13165,0.21874,0.11331,0.02748,0.14079,0.08236,0.16382,0.24619,0.07758,0.24725,0.3252,0.07122,0.14211,0.21453,0.0763,0.06712,0.14342,0.09583,0.03218,0.12888,0.09039,0.09649,0.18687,0.06734,0.0313,0.09988,0.08229
kasia,8,82,0.07798,0.17227,0.25125,0.09085,0.12394,0.21479,0.09951,0.02818,0.12769,0.0769,0.15087,0.22777,0.09361,0.49679,0.59141,0.09509,0.05083,0.14693,0.08705,0.07818,0.16523,0.08881,0.0462,0.13552,0.09048,0.09955,0.19102,0.05876,0.01767,0.07745,0.07361
kasia,8,83,0.07754,0.16487,0.24241,0.10424,0.07276,0.177,0.11298,0.02793,0.1419,0.07621,0.13781,0.21402,0.10786,0.41083,0.51908,0.09268,0.04476,0.13846,0.07979,0.02327,0.10306,0.09269,0.05848,0.15117,0.09066,0.08199,0.17265,0.06803,0.01452,0.08255,0.08168
kasia,8,84,0.06718,0.16459,0.23177,0.07581,0.12788,0.20473,0.07464,0.03226,0.10689,0.06824,0.07628,0.14452,0.11539,0.27487,0.39164,0.08342,0.07269,0.15612,0.08784,0.0169,0.10474,0.08666,0.08009,0.16675,0.05568,0.17286,0.22854,0.05891,0.02433,0.08425,0.08002
kasia,8,85,0.11244,0.13734,0.25081,0.12223,0.12726,0.24949,0.11311,0.00949,0.12359,0.091,0.16904,0.26004,0.08244,0.19964,0.28208,0.0903,0.09274,0.18304,0.08606,0.04992,0.13598,0.08708,0.02624,0.11332,0.09081,0.10159,0.1934,0.06742,0.01444,0.08186,0.08978
kasia,8,86,0.10462,0.18326,0.28789,0.0858,0.14581,0.23161,0.10518,0.0229,0.12807,0.07106,0.18386,0.25492,0.09004,0.14081,0.23085,0.08161,0.09622,0.17887,0.09146,0.03612,0.12759,0.09109,0.04424,0.13633,0.09566,0.09638,0.19204,0.07283,0.02653,0.09936,0.09003
kasia,8,87,0.12224,0.16559,0.28783,0.09539,0.10983,0.20523,0.20865,0.09881,0.01323,0.06419,0.17761,0.25604,0.08224,0.23169,0.31393,0.0869,0.09564,0.18254,0.08069,0.0646,0.1469,0.08114,0.04619,0.12733,0.07738,0.09984,0.17722,0.06418,0.05478,0.11896,0.0447
kasia,8,88,0.08617,0.13756,0.22373,0.09588,0.09466,0.19093,0.16395,0.06928,0.03131,0.03438,0.16941,0.23649,0.08622,0.40934,0.49657,0.07774,0.08658,0.16432,0.07775,0.02258,0.10033,0.10782,0.04588,0.15508,0.07619,0.11756,0.19574,0.07216,0.02279,0.09595,0.10044
kasia,8,89,0.10014,0.11413,0.21427,0.09189,0.11856,0.21044,0.21912,0.10057,0.01202,0.06466,0.14586,0.22354,0.09056,0.42057,0.51112,0.06714,0.0775,0.14463,0.0776,0.02344,0.10103,0.09896,0.05493,0.15442,0.10404,0.10575,0.20979,0.08587,0.02642,0.11328,0.13139
kasia,8,90,0.09508,0.11897,0.21526,0.09057,0.0955,0.18707,0.18725,0.09175,0.0132,0.05436,0.15161,0.21917,0.09085,0.44419,0.53504,0.08804,0.05577,0.14432,0.07221,0.03632,0.10853,0.10943,0.06303,0.17281,0.09163,0.12302,0.21465,0.06836,0.02656,0.09492,0.10048
kasia,8,91,0.12266,0.12805,0.25164,0.12302,0.05026,0.17327,0.12243,0.02343,0.14587,0.06813,0.09972,0.16785,0.10483,0.44163,0.54646,0.09158,0.09122,0.1828,0.07261,0.02803,0.10064,0.10353,0.05379,0.15825,0.10091,0.09496,0.19706,0.06864,0.05432,0.12297,0.11913
kasia,8,92,0.09126,0.0243,0.11556,0.08425,0.12811,0.21236,0.08695,0.04409,0.13164,0.07618,0.05204,0.12822,0.11541,0.3,0.41541,0.07642,0.0917,0.16811,0.07937,0.03196,0.11233,0.09545,0.07211,0.16789,0.05204,0.18454,0.23658,0.0588,0.0525,0.11178,0.10664
kasia,8,93,0.13188,0.69594,0.82882,0.0859,0.1425,0.22975,0.11836,0.03505,0.15342,0.05992,0.14459,0.20519,0.08617,0.49315,0.57983,0.07127,0.09194,0.16321,0.07784,0.0323,0.11014,0.09456,0.06365,0.15821,0.08845,0.09847,0.18692,0.0723,0.03581,0.10972,0.10179
